,book1,book2,num_conn
533,1-samuel,joshua,198
534,1-samuel,judges,422
535,1-samuel,ruth,75
537,1-samuel,2-samuel,695
538,1-samuel,1-kings,264
539,1-samuel,2-kings,229
540,1-samuel,1-chronicles,322
541,1-samuel,2-chronicles,177
542,1-samuel,ezra,62
543,1-samuel,nehemiah,119
544,1-samuel,esther,32
545,1-samuel,job,326
546,1-samuel,psalms,632
547,1-samuel,proverbs,240
548,1-samuel,ecclesiastes,61
549,1-samuel,song-of-solomon,29
550,1-samuel,isaiah,342
551,1-samuel,jeremiah,242
552,1-samuel,lamentations,39
553,1-samuel,ezekiel,188
554,1-samuel,daniel,83
555,1-samuel,hosea,57
556,1-samuel,joel,23
557,1-samuel,amos,38
558,1-samuel,obadiah,8
559,1-samuel,jonah,29
560,1-samuel,micah,31
561,1-samuel,nahum,7
562,1-samuel,habakkuk,14
563,1-samuel,zephaniah,18
564,1-samuel,haggai,4
565,1-samuel,zechariah,61
566,1-samuel,malachi,17
567,1-samuel,matthew,304
568,1-samuel,mark,184
569,1-samuel,luke,374
570,1-samuel,john,188
571,1-samuel,acts,332
572,1-samuel,romans,61
573,1-samuel,1-corinthians,77
574,1-samuel,2-corithians,0
575,1-samuel,galatians,23
576,1-samuel,ephesians,22
577,1-samuel,philippians,12
578,1-samuel,colossians,8
579,1-samuel,1-thessalonians,12
580,1-samuel,2-thessalonians,5
581,1-samuel,1-timothy,21
582,1-samuel,2-timothy,5
583,1-samuel,titus,12
584,1-samuel,philemon,7
585,1-samuel,hebrews,45
586,1-samuel,james,19
587,1-samuel,1-peter,11
588,1-samuel,2-peter,10
589,1-samuel,1-john,14
590,1-samuel,2-john,0
591,1-samuel,3-john,3
592,1-samuel,jude,3
593,1-samuel,revelation,63
594,2-samuel,genesis,483
595,2-samuel,exodus,139
596,2-samuel,leviticus,64
597,2-samuel,numbers,138
598,2-samuel,deuteronomy,162
599,2-samuel,joshua,114
600,2-samuel,judges,218
601,2-samuel,ruth,54
602,2-samuel,1-samuel,782
604,2-samuel,1-kings,411
605,2-samuel,2-kings,248
606,2-samuel,1-chronicles,665
607,2-samuel,2-chronicles,195
608,2-samuel,ezra,67
609,2-samuel,nehemiah,73
610,2-samuel,esther,61
611,2-samuel,job,232
612,2-samuel,psalms,523
613,2-samuel,proverbs,187
614,2-samuel,ecclesiastes,53
615,2-samuel,song-of-solomon,33
616,2-samuel,isaiah,244
617,2-samuel,jeremiah,234
618,2-samuel,lamentations,37
619,2-samuel,ezekiel,177
620,2-samuel,daniel,74
621,2-samuel,hosea,39
622,2-samuel,joel,8
623,2-samuel,amos,35
624,2-samuel,obadiah,4
625,2-samuel,jonah,21
626,2-samuel,micah,26
627,2-samuel,nahum,8
628,2-samuel,habakkuk,11
629,2-samuel,zephaniah,13
630,2-samuel,haggai,8
631,2-samuel,zechariah,59
632,2-samuel,malachi,6
633,2-samuel,matthew,209
634,2-samuel,mark,127
635,2-samuel,luke,265
636,2-samuel,john,124
637,2-samuel,acts,259
638,2-samuel,romans,57
639,2-samuel,1-corinthians,82
640,2-samuel,2-corithians,0
641,2-samuel,galatians,17
642,2-samuel,ephesians,18
643,2-samuel,philippians,6
644,2-samuel,colossians,6
645,2-samuel,1-thessalonians,7
646,2-samuel,2-thessalonians,4
647,2-samuel,1-timothy,11
648,2-samuel,2-timothy,12
649,2-samuel,titus,8
650,2-samuel,philemon,5
651,2-samuel,hebrews,61
652,2-samuel,james,12
653,2-samuel,1-peter,11
654,2-samuel,2-peter,4
655,2-samuel,1-john,12
656,2-samuel,2-john,1
657,2-samuel,3-john,5
658,2-samuel,jude,1
659,2-samuel,revelation,61
660,1-kings,genesis,572
661,1-kings,exodus,346
662,1-kings,leviticus,114
663,1-kings,numbers,232
664,1-kings,deuteronomy,314
665,1-kings,joshua,193
666,1-kings,judges,281
667,1-kings,ruth,68
668,1-kings,1-samuel,391
669,1-kings,2-samuel,489
671,1-kings,2-kings,777
672,1-kings,1-chronicles,383
673,1-kings,2-chronicles,1084
674,1-kings,ezra,90
675,1-kings,nehemiah,115
676,1-kings,esther,52
677,1-kings,job,288
678,1-kings,psalms,687
679,1-kings,proverbs,263
680,1-kings,ecclesiastes,67
681,1-kings,song-of-solomon,42
682,1-kings,isaiah,398
683,1-kings,jeremiah,445
684,1-kings,lamentations,43
685,1-kings,ezekiel,381
686,1-kings,daniel,93
687,1-kings,hosea,71
688,1-kings,joel,17
689,1-kings,amos,35
690,1-kings,obadiah,2
691,1-kings,jonah,21
692,1-kings,micah,38
693,1-kings,nahum,4
694,1-kings,habakkuk,13
695,1-kings,zephaniah,11
696,1-kings,haggai,12
697,1-kings,zechariah,56
698,1-kings,malachi,17
699,1-kings,matthew,249
700,1-kings,mark,165
701,1-kings,luke,322
702,1-kings,john,172
703,1-kings,acts,246
704,1-kings,romans,57
705,1-kings,1-corinthians,68
706,1-kings,2-corithians,0
707,1-kings,galatians,22
708,1-kings,ephesians,19
709,1-kings,philippians,17
710,1-kings,colossians,16
711,1-kings,1-thessalonians,13
712,1-kings,2-thessalonians,1
713,1-kings,1-timothy,19
714,1-kings,2-timothy,13
715,1-kings,titus,5
716,1-kings,philemon,3
717,1-kings,hebrews,85
718,1-kings,james,17
719,1-kings,1-peter,22
720,1-kings,2-peter,13
721,1-kings,1-john,18
722,1-kings,2-john,2
723,1-kings,3-john,1
724,1-kings,jude,1
725,1-kings,revelation,81
726,2-kings,genesis,517
727,2-kings,exodus,252
728,2-kings,leviticus,89
729,2-kings,numbers,174
730,2-kings,deuteronomy,258
731,2-kings,joshua,157
732,2-kings,judges,322
733,2-kings,ruth,39
734,2-kings,1-samuel,347
735,2-kings,2-samuel,331
736,2-kings,1-kings,892
738,2-kings,1-chronicles,279
739,2-kings,2-chronicles,1016
740,2-kings,ezra,64
741,2-kings,nehemiah,149
742,2-kings,esther,57
743,2-kings,job,228
744,2-kings,psalms,538
745,2-kings,proverbs,196
746,2-kings,ecclesiastes,58
747,2-kings,song-of-solomon,36
748,2-kings,isaiah,558
749,2-kings,jeremiah,667
750,2-kings,lamentations,38
751,2-kings,ezekiel,264
752,2-kings,daniel,134
753,2-kings,hosea,75
754,2-kings,joel,17
755,2-kings,amos,51
756,2-kings,obadiah,4
757,2-kings,jonah,30
758,2-kings,micah,25
759,2-kings,nahum,12
760,2-kings,habakkuk,14
761,2-kings,zephaniah,10
762,2-kings,haggai,12
763,2-kings,zechariah,92
764,2-kings,malachi,19
765,2-kings,matthew,226
766,2-kings,mark,171
767,2-kings,luke,328
768,2-kings,john,209
769,2-kings,acts,271
770,2-kings,romans,48
771,2-kings,1-corinthians,51
772,2-kings,2-corithians,0
773,2-kings,galatians,24
774,2-kings,ephesians,13
775,2-kings,philippians,13
776,2-kings,colossians,10
777,2-kings,1-thessalonians,12
778,2-kings,2-thessalonians,6
779,2-kings,1-timothy,18
780,2-kings,2-timothy,19
781,2-kings,titus,5
782,2-kings,philemon,3
783,2-kings,hebrews,58
784,2-kings,james,23
785,2-kings,1-peter,14
786,2-kings,2-peter,7
787,2-kings,1-john,10
788,2-kings,2-john,0
789,2-kings,3-john,1
790,2-kings,jude,2
791,2-kings,revelation,54
792,1-chronicles,genesis,409
793,1-chronicles,exodus,180
794,1-chronicles,leviticus,66
795,1-chronicles,numbers,264
796,1-chronicles,deuteronomy,125
797,1-chronicles,joshua,292
798,1-chronicles,judges,137
799,1-chronicles,ruth,14
800,1-chronicles,1-samuel,331
801,1-chronicles,2-samuel,582
802,1-chronicles,1-kings,233
803,1-chronicles,2-kings,107
805,1-chronicles,2-chronicles,364
806,1-chronicles,ezra,204
807,1-chronicles,nehemiah,266
808,1-chronicles,esther,22
809,1-chronicles,job,141
810,1-chronicles,psalms,532
811,1-chronicles,proverbs,70
812,1-chronicles,ecclesiastes,20
813,1-chronicles,song-of-solomon,18
814,1-chronicles,isaiah,190
815,1-chronicles,jeremiah,118
816,1-chronicles,lamentations,20
817,1-chronicles,ezekiel,122
818,1-chronicles,daniel,40
819,1-chronicles,hosea,29
820,1-chronicles,joel,16
821,1-chronicles,amos,14
822,1-chronicles,obadiah,3
823,1-chronicles,jonah,10
824,1-chronicles,micah,17
825,1-chronicles,nahum,6
826,1-chronicles,habakkuk,4
827,1-chronicles,zephaniah,8
828,1-chronicles,haggai,3
829,1-chronicles,zechariah,39
830,1-chronicles,malachi,10
831,1-chronicles,matthew,77
832,1-chronicles,mark,28
833,1-chronicles,luke,117
834,1-chronicles,john,35
835,1-chronicles,acts,91
836,1-chronicles,romans,27
837,1-chronicles,1-corinthians,20
838,1-chronicles,2-corithians,0
839,1-chronicles,galatians,5
840,1-chronicles,ephesians,7
841,1-chronicles,philippians,5
842,1-chronicles,colossians,11
843,1-chronicles,1-thessalonians,3
844,1-chronicles,2-thessalonians,4
845,1-chronicles,1-timothy,8
846,1-chronicles,2-timothy,6
847,1-chronicles,titus,5
848,1-chronicles,philemon,0
849,1-chronicles,hebrews,26
850,1-chronicles,james,4
851,1-chronicles,1-peter,6
852,1-chronicles,2-peter,5
853,1-chronicles,1-john,2
854,1-chronicles,2-john,1
855,1-chronicles,3-john,1
856,1-chronicles,jude,0
857,1-chronicles,revelation,58
858,2-chronicles,genesis,382
859,2-chronicles,exodus,339
860,2-chronicles,leviticus,141
861,2-chronicles,numbers,216
862,2-chronicles,deuteronomy,346
863,2-chronicles,joshua,198
864,2-chronicles,judges,218
865,2-chronicles,ruth,19
866,2-chronicles,1-samuel,298
867,2-chronicles,2-samuel,328
868,2-chronicles,1-kings,1034
869,2-chronicles,2-kings,765
870,2-chronicles,1-chronicles,637
872,2-chronicles,ezra,255
873,2-chronicles,nehemiah,288
874,2-chronicles,esther,47
875,2-chronicles,job,245
876,2-chronicles,psalms,807
877,2-chronicles,proverbs,214
878,2-chronicles,ecclesiastes,54
879,2-chronicles,song-of-solomon,36
880,2-chronicles,isaiah,484
881,2-chronicles,jeremiah,533
882,2-chronicles,lamentations,55
883,2-chronicles,ezekiel,342
884,2-chronicles,daniel,133
885,2-chronicles,hosea,101
886,2-chronicles,joel,28
887,2-chronicles,amos,46
888,2-chronicles,obadiah,3
889,2-chronicles,jonah,18
